Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,10025.000000,10075.000000,10025.000000,10075.000000,10075.000000,3209400
2020-10-09,10100.000000,10100.000000,10050.000000,10050.000000,10050.000000,2004200
2020-10-12,10050.000000,10075.000000,9950.000000,9950.000000,9950.000000,6518600
2020-10-13,9900.000000,9950.000000,9875.000000,9925.000000,9925.000000,7526700
2020-10-14,10000.000000,10000.000000,9875.000000,9950.000000,9950.000000,9351800
2020-10-15,9925.000000,9950.000000,9750.000000,9750.000000,9750.000000,10009200
2020-10-16,9775.000000,9925.000000,9750.000000,9750.000000,9750.000000,7227300
2020-10-19,9775.000000,9875.000000,9775.000000,9825.000000,9825.000000,2188500
2020-10-20,9825.000000,9850.000000,9725.000000,9725.000000,9725.000000,6697000
2020-10-21,9725.000000,9850.000000,9650.000000,9700.000000,9700.000000,9752700
2020-10-22,9700.000000,9725.000000,9650.000000,9650.000000,9650.000000,5281200
2020-10-23,9700.000000,9775.000000,9700.000000,9725.000000,9725.000000,2466700
2020-10-26,9725.000000,9875.000000,9700.000000,9775.000000,9775.000000,5331300
2020-10-27,9750.000000,9775.000000,9650.000000,9650.000000,9650.000000,4979000
2020-11-02,9650.000000,9925.000000,9625.000000,9750.000000,9750.000000,9102800
2020-11-03,9825.000000,9825.000000,9725.000000,9725.000000,9725.000000,4004300
2020-11-04,9750.000000,9825.000000,9750.000000,9775.000000,9775.000000,2680800
2020-11-05,9850.000000,9900.000000,9800.000000,9900.000000,9900.000000,5042500
2020-11-06,9900.000000,9950.000000,9800.000000,9875.000000,9875.000000,10391600
2020-11-09,9900.000000,9950.000000,9750.000000,9750.000000,9750.000000,9146900
2020-11-10,9775.000000,9850.000000,9650.000000,9675.000000,9675.000000,21280100
2020-11-11,9775.000000,9775.000000,9600.000000,9600.000000,9600.000000,20988000
2020-11-12,9675.000000,9800.000000,9675.000000,9775.000000,9775.000000,10317600
2020-11-13,9775.000000,9775.000000,9675.000000,9700.000000,9700.000000,7350000
2020-11-16,9775.000000,9800.000000,9700.000000,9750.000000,9750.000000,7054800
2020-11-17,9800.000000,10475.000000,9800.000000,10250.000000,10250.000000,24735800
2020-11-18,10250.000000,10475.000000,10250.000000,10275.000000,10275.000000,10675000
2020-11-19,10275.000000,10400.000000,10150.000000,10350.000000,10350.000000,7159300
2020-11-20,10400.000000,10400.000000,10100.000000,10100.000000,10100.000000,10424600
2020-11-23,10150.000000,10225.000000,10125.000000,10200.000000,10200.000000,2206800
